City,Latitude,Longitude,Population_Census_April12010,Persons_under_5_years_percent,Persons_under_18_years_percent,Persons_65_years_and_over_percent,Female_persons_percent,White_alone_percent,Black_or_African_American_alone_percent,American_Indian_and_Alaska_Native_alone_percent,Asian_alone_percent,Native_Hawaiian_and_Other_Pacific_Islander_alone_percent,Tw_ or_More_Races_percent,Hispanic_or_Latino_percent,White_alone_not_Hispanic_or_Latino_percent,Foreign_born_persons_percent_2013_2017,Owner_occupied_housing_unit_rate_2013_2017,Median_gross_rent_2013_2017,Persons_per_household_2013_2017,Language_other_than_English_spoken_at_home_percent_of_persons_age_5_years_2013_2017,High_school_graduate_or_higher_percent_of_persons_age_25_years_2013_2017,Bachelors_degree_or_higher_percent_of_persons_age_25_years_2013_2017
Alhambra,34.081944,-118.135,84649,0.05,0.175,0.167,0.514,0.224,0.018,0.005,0.506,0.003,0.026,0.376,0.086,0.496,0.403,1286,2.89,0.728,0.817,0.336
Arcadia,34.132778,-118.036389,56364,0.045,0.215,0.179,0.53,0.283,0.014,0.003,0.615,0.002,0.034,0.117,0.223,0.49,0.602,1481,2.97,0.627,0.918,0.524
Azusa,34.130556,-117.906944,46361,0.056,0.211,0.139,0.495,0.431,0.004,0.005,0.106,0,0.024,0.829,0.061,0.36,0.788,1309,4.16,0.714,0.717,0.127
Baldwin Park,34.082778,-117.971667,75390,0.064,0.247,0.111,0.493,0.349,0.022,0.019,0.188,0.007,0.02,0.74,0.036,0.438,0.565,1357,4.31,0.818,0.669,0.122
Claremont,34.11,-117.719722,34926,0.045,0.189,0.187,0.522,0.653,0.053,0.009,0.138,0,0.06,0.264,0.501,0.174,0.659,1465,2.7,0.282,0.942,0.559
Covina,34.091667,-117.879167,47796,0.07,0.242,0.134,0.521,0.492,0.041,0.01,0.139,0,0.056,0.56,0.246,0.236,0.567,1340,3.17,0.453,0.861,0.277
Diamond Bar,34.001667,-117.820833,55544,0.046,0.197,0.156,0.51,0.291,0.042,0.005,0.547,0.01,0.039,0.184,0.196,0.435,0.772,1935,3.17,0.585,0.928,0.521
Duarte,34.140278,-117.961667,21321,0.046,0.205,0.18,0.542,0.558,0.075,0.004,0.175,0.001,0.056,0.489,0.241,0.34,0.638,1489,3.08,0.544,0.832,0.299
El Monte,34.073333,-118.0275,113475,0.058,0.239,0.126,0.496,0.457,0.006,0.006,0.291,0.005,0.016,0.652,0.04,0.501,0.405,1160,3.88,0.839,0.574,0.116
Glendora,34.136111,-117.865278,50073,0.053,0.226,0.158,0.509,0.697,0.023,0.005,0.109,0.002,0.063,0.318,0.512,0.184,0.706,1519,2.98,0.287,0.901,0.361
La Puente,34.0325,-117.955278,39816,0.067,0.255,0.112,0.514,0.346,0.012,0.006,0.106,0.003,0.023,0.847,0.034,0.406,0.57,1235,4.49,0.805,0.619,0.104
La Verne,34.114444,-117.771389,31063,0.059,0.218,0.189,0.519,0.747,0.042,0.008,0.074,0.001,0.056,0.363,0.502,0.149,0.742,1415,2.81,0.23,0.917,0.377
Monrovia,34.145911,-118.00095,36590,0.053,0.217,0.131,0.508,0.656,0.053,0.006,0.14,0.002,0.046,0.415,0.358,0.259,0.462,1374,2.84,0.431,0.885,0.377
Monterey Park,34.049167,-118.135556,60269,0.042,0.163,0.209,0.522,0.129,0.005,0.004,0.671,0.007,0.026,0.264,0.039,0.545,0.537,1275,3.08,0.758,0.787,0.319
Pasadena,34.156111,-118.131944,137122,0.064,0.182,0.155,0.517,0.539,0.102,0.003,0.163,0.002,0.04,0.344,0.365,0.302,0.436,1494,2.51,0.451,0.876,0.511
Pomona,34.060833,-117.755833,149058,0.076,0.258,0.094,0.503,0.551,0.063,0.019,0.097,0.002,0.041,0.706,0.117,0.341,0.526,1246,3.79,0.659,0.685,0.177
Rosemead,34.066667,-118.083333,53764,0.052,0.196,0.16,0.503,0.156,0.002,0.005,0.614,0.001,0.014,0.336,0.038,0.564,0.495,1233,3.69,0.83,0.648,0.179
San Dimas,34.102778,-117.81611,33371,0.053,0.202,0.193,0.53,0.673,0.027,0.009,0.162,0.001,0.047,0.323,0.467,0.207,0.718,1610,2.86,0.297,0.929,0.372
San Gabriel,34.102817,-118.099692,39718,0.055,0.182,0.155,0.524,0.211,0.006,0.004,0.606,0.002,0.021,0.254,0.12,0.549,0.452,1333,3.25,0.732,0.797,0.321
San Marino,34.122778,-118.113056,13147,0.042,0.243,0.204,0.511,0.364,0.013,0,0.537,0.003,0.027,0.098,0.322,0.391,0.843,3500,2.93,0.524,0.969,0.734
Sierra Madre,34.164722,-118.050833,10917,0.057,0.198,0.2,0.526,0.799,0.014,0.003,0.111,0.002,0.047,0.162,0.666,0.128,0.604,1487,2.49,0.186,0.993,0.633
S. El Monte,34.048889,-118.048333,20116,0.07,0.251,0.125,0.494,0.591,0.003,0.004,0.142,0,0.017,0.82,0.036,0.433,0.473,1187,3.89,0.808,0.528,0.088
S. Pasadena,34.116111,-118.150278,25619,0.049,0.238,0.143,0.509,0.548,0.032,0.002,0.292,0.001,0.062,0.202,0.419,0.274,0.455,1556,2.52,0.374,0.959,0.628
Temple,34.102778,-118.058056,35558,0.053,0.214,0.172,0.522,0.222,0.005,0.004,0.614,0.003,0.021,0.206,0.156,0.487,0.641,1398,3.22,0.671,0.843,0.383
Walnut,34.033333,-117.866667,29172,0.046,0.19,0.168,0.501,0.217,0.029,0.004,0.641,0.001,0.033,0.205,0.108,0.503,0.839,2163,3.3,0.646,0.922,0.52
W. Covina,34.056667,-117.918611,106098,0.059,0.221,0.142,0.51,0.356,0.043,0.005,0.289,0.001,0.044,0.537,0.118,0.355,0.642,1520,3.48,0.589,0.847,0.285
